Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Pret A Manger US""","""Chipotle Mango Dressing""","""1 serving ( 56 g )""",60,36,4,0,,,670,6,1,4,1,,,,
"""Pret A Manger US""","""Chocolate Almonds""","""1 serving ( 43 g )""",220,126,14,6,,,15,23,2,20,3,,,,
"""Pret A Manger US""","""Chocolate Chia Pudding""","""1 serving ( 163 g )""",270,126,14,4.5,,,150,31,4,19,10,,,,
"""Pret A Manger US""","""Chocolate Chunk Cookie""","""1 cookie ( 71 g )""",320,135,15,9,,,220,41,2,26,4,,,,
"""Pret A Manger US""","""Chocolate Hazelnut Croissant""","""1 croissant ( 100 g )""",400,198,22,13,,,220,43,3,14,6,,,,
"""Pret A Manger US""","""Chocolate Trail Mix""","""1 serving ( 49 g )""",230,126,14,12,,,0,25,3,14,5,,,,
"""Pret A Manger US""","""Classic Cheddar & Tomato Sandwich""","""1 sandwich ( 149 g )""",430,225,25,10,,,680,35,3,4,18,,,,
"""Pret A Manger US""","""Clementines""","""1 piece ( None g )""",40,0,0,0,,,0,7,0,7,0,,,,
"""Pret A Manger US""","""Coconut Chicken & Sweet Potato Balance Box""","""1 serving ( 409 g )""",500,234,26,3.5,,,680,58,13,9,32,,,,
"""Pret A Manger US""","""Coconut Greens Dressing""","""1 serving ( 28 g )""",40,36,4,0,,,100,2,0,1,0,,,,
"""Pret A Manger US""","""Coconut Power Oatmeal""","""1 serving ( 227 g )""",230,99,11,9,,,20,30,4,1,7,,,,
"""Pret A Manger US""","""Cold Pressed Extra Virgin Olive Oil""","""1 serving ( 14 g )""",120,126,14,2,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Cranberry Orange Juice""","""1 serving ( 250 g )""",100,0,0,0,,,0,20,0,18,1,,,,
"""Pret A Manger US""","""Dark Chocolate With Sea Salt""","""1 serving ( 25 g )""",140,81,9,5,,,80,12,2,10,2,,,,
"""Pret A Manger US""","""Dark Roast Brewed Coffee""","""12 oz ( 340 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Egg & Avocado Baguette""","""1 sandwich ( 138 g )""",420,225,25,3.5,,,620,38,5,2,13,,,,
"""Pret A Manger US""","""Egg & Bacon Baguette""","""1 sandwich ( 109 g )""",380,189,21,3.5,,,710,34,2,2,15,,,,
"""Pret A Manger US""","""Egg & Spinach Pot""","""1 pot ( 86 g )""",170,99,11,3.5,,,170,2,1,1,14,,,,
"""Pret A Manger US""","""Egg White Greek Power Omelet""","""1 serving ( 289 g )""",180,54,6,3.5,,,570,9,1,3,25,,,,
"""Pret A Manger US""","""Energy Bagel""","""1 bagel ( 114 g )""",320,36,4,0,,,220,62,4,8,12,,,,
"""Pret A Manger US""","""Espresso""","""4 oz ( 110 g )""",5,0,0,0,,,0,0,0,0,0,,,,
"""Pret A Manger US""","""Everything Bagel""","""1 bagel ( 13 g )""",290,9,1,0,,,720,62,2,7,10,,,,
"""Pret A Manger US""","""Everything Bagel with Cream Cheese""","""1 bagel ( 163 g )""",440,144,16,10,,,900,65,2,10,13,,,,
"""Pret A Manger US""","""Falafel & Beet Hummus Pot""","""1 pot ( 166 g )""",290,117,13,2,,,540,35,9,9,11,,,,
